# time(ISO) elevation(m) distance(km) velocity(km/h)
2015-03-20T07:03:13 1494.510000 3.858533 2.160573
2015-03-20T07:03:29 1497.680000 3.864698 1.387172
2015-03-20T07:03:51 1500.470000 3.880533 2.591225
2015-03-20T07:04:10 1503.440000 3.893905 2.533679
2015-03-20T07:04:17 1504.430000 3.899434 2.843178
2015-03-20T07:04:33 1507.600000 3.911707 2.761437
2015-03-20T07:04:45 1510.350000 3.920994 2.786317
2015-03-20T07:04:57 1512.540000 3.931565 3.171253
2015-03-20T07:05:17 1514.500000 3.940630 1.631629
2015-03-20T07:05:27 1513.800000 3.942817 0.787419
2015-03-20T07:05:53 1514.520000 3.943810 0.137467
2015-03-20T07:06:19 1514.330000 3.946007 0.304204
2015-03-20T07:06:37 1516.870000 3.961305 3.059686
2015-03-20T07:06:47 1517.910000 3.973303 4.319153
2015-03-20T07:06:51 1518.150000 3.979517 5.592497
2015-03-20T07:07:06 1519.430000 4.003417 5.735960
2015-03-20T07:07:10 1519.630000 4.009222 5.224695
2015-03-20T07:07:14 1519.800000 4.014785 5.006763
2015-03-20T07:07:21 1520.560000 4.024065 4.772501
2015-03-20T07:07:30 1521.560000 4.037432 5.346694
2015-03-20T07:07:34 1522.010000 4.043164 5.158662
2015-03-20T07:07:45 1523.350000 4.060632 5.716921
2015-03-20T07:07:47 1523.620000 4.063320 4.838324
2015-03-20T07:07:54 1524.230000 4.073808 5.393869
2015-03-20T07:07:56 1524.500000 4.075982 3.912399
2015-03-20T07:08:07 1526.080000 4.088376 4.056435
2015-03-20T07:08:08 1526.160000 4.089545 4.207179
2015-03-20T07:08:10 1526.370000 4.092019 4.454082
2015-03-20T07:08:25 1528.080000 4.110041 4.325130
2015-03-20T07:08:37 1529.540000 4.125656 4.684437
2015-03-20T07:08:50 1531.360000 4.140048 3.985544
2015-03-20T07:08:55 1532.270000 4.145812 4.150601
2015-03-20T07:08:59 1532.730000 4.151041 4.705231
2015-03-20T07:09:06 1533.620000 4.160127 4.673266
2015-03-20T07:09:11 1534.210000 4.167545 5.341004
2015-03-20T07:09:19 1535.280000 4.177975 4.693383
2015-03-20T07:09:26 1536.460000 4.187168 4.727962
2015-03-20T07:09:30 1536.790000 4.191428 3.833811
2015-03-20T07:09:41 1538.420000 4.203924 4.089461
2015-03-20T07:09:53 1539.600000 4.213485 2.868198
2015-03-20T07:10:00 1541.330000 4.219861 3.279144
2015-03-20T07:10:16 1543.990000 4.234733 3.346361
2015-03-20T07:10:36 1547.140000 4.255331 3.707493
2015-03-20T07:10:56 1550.150000 4.274891 3.520925
2015-03-20T07:11:13 1553.310000 4.291701 3.559736
2015-03-20T07:11:34 1556.550000 4.309716 3.088223
2015-03-20T07:11:45 1558.100000 4.320037 3.377894
2015-03-20T07:12:04 1561.370000 4.335969 3.018614
2015-03-20T07:12:21 1564.140000 4.350665 3.112217
2015-03-20T07:12:31 1566.100000 4.358686 2.887513
2015-03-20T07:12:41 1567.910000 4.368223 3.433421
2015-03-20T07:12:54 1570.200000 4.385943 4.906940
2015-03-20T07:13:08 1572.750000 4.397089 2.866211
2015-03-20T07:13:09 1572.930000 4.398101 3.643629
2015-03-20T07:13:26 1576.350000 4.413348 3.228786
2015-03-20T07:13:45 1579.400000 4.428834 2.934161
2015-03-20T07:14:01 1582.580000 4.441561 2.863443
2015-03-20T07:14:18 1585.680000 4.454695 2.781323
2015-03-20T07:14:38 1588.860000 4.469303 2.629492
2015-03-20T07:14:48 1590.140000 4.477834 3.071204
2015-03-20T07:15:00 1592.970000 4.490048 3.664151
2015-03-20T07:15:02 1593.150000 4.491984 3.485072
2015-03-20T07:15:18 1595.640000 4.506643 3.298301
2015-03-20T07:15:33 1597.600000 4.520165 3.245267
2015-03-20T07:15:41 1599.160000 4.526392 2.802035
2015-03-20T07:15:52 1600.890000 4.535224 2.890519
2015-03-20T07:16:00 1602.110000 4.541093 2.641257
2015-03-20T07:16:11 1604.560000 4.549366 2.707367
2015-03-20T07:16:22 1606.530000 4.558296 2.922640
2015-03-20T07:16:32 1608.300000 4.565729 2.675802
2015-03-20T07:16:39 1609.000000 4.571588 3.012969
2015-03-20T07:16:41 1609.350000 4.573596 3.615443
2015-03-20T07:17:03 1611.700000 4.583919 1.689188
2015-03-20T07:17:13 1612.820000 4.589218 1.907602
2015-03-20T07:17:27 1616.090000 4.603811 3.752425
2015-03-20T07:17:42 1618.740000 4.610150 1.521470
2015-03-20T07:17:56 1622.120000 4.619980 2.527776
